rider,stage,position,gap,stage_time
VIVIANI Elia,21,1,0,8488
SAGAN Peter,21,2,0,8488
NIZZOLO Giacomo,21,3,0,8488
VAN POPPEL Danny,21,4,0,8488
SARREAU Marc,21,5,0,8488
ABERASTURI Jon,21,6,0,8488
CONSONNI Simone,21,7,0,8488
TRENTIN Matteo,21,8,0,8488
VAN ASBROECK Tom,21,9,0,8488
GIBBONS Ryan,21,10,0,8488
WALSCHEID Max,21,11,0,8488
VAN DER SANDE Tosh,21,12,0,8488
BAGÜES Aritz,21,13,0,8488
MEZGEC Luka,21,14,0,8488
FRAILE Omar,21,15,0,8488
SOTO Nelson Andrés,21,16,0,8488
VENTOSO Francisco José,21,17,0,8488
EZQUERRA Jesús,21,18,0,8488
GARCÍA CORTINA Iván,21,19,0,8488
MAS Lluís,21,20,0,8488
PRADES Eduard,21,21,0,8488
CUBERO Jorge,21,22,0,8488
RESTREPO Jhonatan,21,23,0,8488
VALVERDE Alejandro,21,24,0,8488
KELDERMAN Wilco,21,25,0,8488
SABATINI Fabio,21,26,0,8488
IZAGIRRE Ion,21,27,0,8488
LASTRA Jonathan,21,28,0,8488
ROCHE Nicolas,21,29,0,8488
GALLOPIN Tony,21,30,0,8488
HOLLENSTEIN Reto,21,31,0,8488
YATES Simon,21,32,0,8488
IZAGIRRE Gorka,21,33,0,8488
KOCHETKOV Pavel,21,34,0,8488
KING Ben,21,35,0,8488
CAMPENAERTS Victor,21,36,0,8488
MCCARTHY Jay,21,37,0,8488
ZEITS Andrey,21,38,0,8488
MOLARD Rudy,21,39,0,8488
MAS Enric,21,40,0,8488
BILBAO Pello,21,41,0,8488
LÓPEZ Miguel Ángel,21,42,0,8488
ALBASINI Michael,21,43,0,8488
ERVITI Imanol,21,44,0,8488
MOLINA Antonio,21,45,0,8488
BRAMBILLA Gianluca,21,46,0,8488
PINOT Thibaut,21,47,0,8488
DELAGE Mickaël,21,48,0,8488
IRIZAR Markel,21,49,0,8488
URÁN Rigoberto,21,50,0,8488
KRUIJSWIJK Steven,21,51,0,8488
LAENGEN Vegard Stake,21,52,0,8488
DE TIER Floris,21,53,0,8488
PIBERNIK Luka,21,54,0,8488
FRÖHLINGER Johannes,21,55,0,8488
MORENO Daniel,21,56,0,8488
HENAO Sergio,21,57,0,8488
QUINTANA Nairo,21,58,0,8488
BUCHMANN Emanuel,21,59,0,8488
PETERS Nans,21,60,0,8488
PUCCIO Salvatore,21,61,0,8488
CLARKE Simon,21,62,0,8488
MENDES José,21,63,0,8488
ARU Fabio,21,64,0,8488
SCHWARZMANN Michael,21,65,0,8488
SCHULTZ Nick,21,66,0,8488
RODRÍGUEZ Cristián,21,67,0,8488
CARAPAZ Richard,21,68,0,8488
MONFORT Maxime,21,69,0,8488
GASTAUER Ben,21,70,0,8488
STALNOV Nikita,21,71,0,8488
CATALDO Dario,21,72,0,8488
CONTI Valerio,21,73,0,8488
VINCENT Léo,21,74,0,8488
CASTROVIEJO Jonathan,21,75,0,8488
GEOGHEGAN HART Tao,21,76,0,8488
RAVASI Edward,21,77,0,8488
BIZKARRA Mikel,21,78,0,8488
KUDUS Merhawi,21,79,0,8488
MATÉ Luis Ángel,21,80,0,8488
ROSSKOPF Joey,21,81,0,8488
ANACONA Winner,21,82,0,8488
HOWSON Damien,21,83,0,8488
RODRÍGUEZ Óscar,21,84,0,8488
HERRADA Jesús,21,85,0,8488
BENNATI Daniele,21,86,0,8488
MAJKA Rafał,21,87,0,8488
DUPONT Hubert,21,88,0,8488
AMADOR Andrey,21,89,0,8488
ARMÉE Sander,21,90,0,8488
SÁEZ Héctor,21,91,0,8488
GHEBREIGZABHIER Amanuel,21,92,0,8488
HAIG Jack,21,93,0,8488
EDMONDSON Alex,21,94,0,8488
ROSSETTO Stéphane,21,95,0,8488
TUSVELD Martijn,21,96,19,8507
PARDILLA Sergio,21,97,19,8507
HERRADA José,21,98,19,8507
BOOM Lars,21,99,19,8507
REIJNEN Kiel,21,100,19,8507
NIBALI Vincenzo,21,101,19,8507
GENIEZ Alexandre,21,102,19,8507
CHEREL Mikaël,21,103,19,8507
ZAKARIN Ilnur,21,104,19,8507
DE LA CRUZ David,21,105,24,8512
BOOKWALTER Brent,21,106,28,8516
STORER Michael,21,107,28,8516
HINDLEY Jai,21,108,28,8516
MØRKØV Michael,21,109,28,8516
DEVENYNS Dries,21,110,28,8516
BENOOT Tiesj,21,111,30,8518
KUSS Sepp,21,112,30,8518
BYSTRØM Sven Erik,21,113,30,8518
ASGREEN Kasper,21,114,36,8524
MACHADO Tiago,21,115,37,8525
OLIVEIRA Nelson,21,116,37,8525
TEUNISSEN Mike,21,117,37,8525
PELLIZOTTI Franco,21,118,40,8528
ARANBURU Alex,21,119,40,8528
BRAVO Garikoitz,21,120,40,8528
TORRES Pablo,21,121,40,8528
BOL Jetse,21,122,40,8528
CABEDO Óscar,21,123,40,8528
FORMOLO Davide,21,124,40,8528
TEUNS Dylan,21,125,40,8528
CUMMINGS Steve,21,126,40,8528
WOODS Michael,21,127,40,8528
VILLELLA Davide,21,128,40,8528
ROLLAND Pierre,21,129,40,8528
HIRT Jan,21,130,40,8528
DE GENDT Thomas,21,131,40,8528
WALLAYS Jelle,21,132,40,8528
DE MARCHI Alessandro,21,133,40,8528
LE TURNIER Mathias,21,134,40,8528
BOSWELL Ian,21,135,40,8528
ANTÓN Igor,21,136,40,8528
FELLINE Fabio,21,137,49,8537
PORTE Richie,21,138,54,8542
KWIATKOWSKI Michał,21,139,54,8542
RUBIO Diego,21,140,54,8542
VAN ZYL Johann,21,141,58,8546
LANGEVELD Sebastian,21,142,58,8546
LEEZER Tom,21,143,64,8552
YATES Adam,21,144,64,8552
DUVAL Julien,21,145,64,8552
SERRY Pieter,21,146,66,8554
ITURRIA Mikel,21,147,66,8554
BURGHARDT Marcus,21,148,70,8558
LINDEMAN Bert-Jan,21,149,72,8560
BENNETT George,21,150,72,8560
MOLLEMA Bauke,21,151,72,8560
DUCHESNE Antoine,21,152,90,8578
MEINTJES Louis,21,153,92,8580
THOMAS Benjamin,21,154,126,8614
VANBILSEN Kenneth,21,155,0,8488
BRÄNDLE Matthias,21,156,144,8632
CHETOUT Loïc,21,157,248,8736
DOCKER Mitchell,21,158,250,8738
MAS Enric,20,1,0,10770
LÓPEZ Miguel Ángel,20,2,0,10770
YATES Simon,20,3,23,10793
PINOT Thibaut,20,4,54,10824
URÁN Rigoberto,20,5,57,10827
KELDERMAN Wilco,20,6,71,10841
KRUIJSWIJK Steven,20,7,75,10845
DE LA CRUZ David,20,8,137,10907
QUINTANA Nairo,20,9,189,10959
VALVERDE Alejandro,20,10,189,10959
MOLLEMA Bauke,20,11,224,10994
BILBAO Pello,20,12,265,11035
CARAPAZ Richard,20,13,287,11057
ANTÓN Igor,20,14,298,11068
IZAGIRRE Ion,20,15,298,11068
GALLOPIN Tony,20,16,308,11078
MAJKA Rafał,20,17,331,11101
FORMOLO Davide,20,18,331,11101
BUCHMANN Emanuel,20,19,331,11101
WOODS Michael,20,20,345,11115
BIZKARRA Mikel,20,21,355,11125
ROLLAND Pierre,20,22,367,11137
MOLARD Rudy,20,23,367,11137
HINDLEY Jai,20,24,367,11137
HERRADA Jesús,20,25,429,11199
PETERS Nans,20,26,464,11234
ZAKARIN Ilnur,20,27,512,11282
ROCHE Nicolas,20,28,563,11333
GHEBREIGZABHIER Amanuel,20,29,563,11333
RAVASI Edward,20,30,563,11333
YATES Adam,20,31,613,11383
PELLIZOTTI Franco,20,32,642,11412
RODRÍGUEZ Óscar,20,33,688,11458
ZEITS Andrey,20,34,698,11468
DUPONT Hubert,20,35,698,11468
RODRÍGUEZ Cristián,20,36,698,11468
CABEDO Óscar,20,37,702,11472
MONFORT Maxime,20,38,720,11490
KOCHETKOV Pavel,20,39,729,11499
KUDUS Merhawi,20,40,730,11500
GASTAUER Ben,20,41,730,11500
ITURRIA Mikel,20,42,748,11518
MORENO Daniel,20,43,768,11538
PARDILLA Sergio,20,44,768,11538
MATÉ Luis Ángel,20,45,768,11538
MENDES José,20,46,772,11542
BOOKWALTER Brent,20,47,779,11549
HOLLENSTEIN Reto,20,48,788,11558
ROSSETTO Stéphane,20,49,788,11558
CHEREL Mikaël,20,50,794,11564
BENOOT Tiesj,20,51,801,11571
ERVITI Imanol,20,52,801,11571
IZAGIRRE Gorka,20,53,803,11573
BRAMBILLA Gianluca,20,54,803,11573
CAMPENAERTS Victor,20,55,822,11592
TUSVELD Martijn,20,56,872,11642
OLIVEIRA Nelson,20,57,891,11661
NIBALI Vincenzo,20,58,919,11689
STORER Michael,20,59,925,11695
DE GENDT Thomas,20,60,941,11711
KING Ben,20,61,958,11728
CATALDO Dario,20,62,1195,11965
FRAILE Omar,20,63,1195,11965
ANACONA Winner,20,64,1197,11967
HENAO Sergio,20,65,1197,11967
LAENGEN Vegard Stake,20,66,1197,11967
CUBERO Jorge,20,67,1278,12048
RESTREPO Jhonatan,20,68,1278,12048
MCCARTHY Jay,20,69,1278,12048
KWIATKOWSKI Michał,20,70,1278,12048
GEOGHEGAN HART Tao,20,71,1278,12048
SAGAN Peter,20,72,1278,12048
PORTE Richie,20,73,1278,12048
KUSS Sepp,20,74,1278,12048
GENIEZ Alexandre,20,75,1278,12048
GIBBONS Ryan,20,76,1278,12048
CONTI Valerio,20,77,1278,12048
VILLELLA Davide,20,78,1278,12048
PUCCIO Salvatore,20,79,1278,12048
TEUNS Dylan,20,80,1278,12048
HAIG Jack,20,81,1278,12048
SERRY Pieter,20,82,1278,12048
FELLINE Fabio,20,83,1278,12048
SCHULTZ Nick,20,84,1278,12048
BOSWELL Ian,20,85,1278,12048
BRAVO Garikoitz,20,86,1278,12048
ROSSKOPF Joey,20,87,1278,12048
CUMMINGS Steve,20,88,1278,12048
ARMÉE Sander,20,89,1278,12048
MEINTJES Louis,20,90,1278,12048
LE TURNIER Mathias,20,91,1278,12048
MACHADO Tiago,20,92,1278,12048
VINCENT Léo,20,93,1278,12048
DEVENYNS Dries,20,94,1278,12048
HIRT Jan,20,95,1278,12048
FRÖHLINGER Johannes,20,96,1311,12081
VAN ASBROECK Tom,20,97,1319,12089
STALNOV Nikita,20,98,1321,12091
DELAGE Mickaël,20,99,1340,12110
RUBIO Diego,20,100,1359,12129
THOMAS Benjamin,20,101,1363,12133
BENNETT George,20,102,1376,12146
BOL Jetse,20,103,1393,12163
PRADES Eduard,20,104,1469,12239
ARANBURU Alex,20,105,1469,12239
BAGÜES Aritz,20,106,1469,12239
GARCÍA CORTINA Iván,20,107,1469,12239
HERRADA José,20,108,1477,12247
HOWSON Damien,20,109,1502,12272
SCHWARZMANN Michael,20,110,1505,12275
DUCHESNE Antoine,20,111,1514,12284
WALLAYS Jelle,20,112,1518,12288
TEUNISSEN Mike,20,113,1522,12292
CHETOUT Loïc,20,114,1546,12316
VANBILSEN Kenneth,20,115,1594,12364
EZQUERRA Jesús,20,116,1632,12402
DE TIER Floris,20,117,1704,12474
TORRES Pablo,20,118,1720,12490
LASTRA Jonathan,20,119,1720,12490
VENTOSO Francisco José,20,120,1771,12541
LINDEMAN Bert-Jan,20,121,1782,12552
VAN POPPEL Danny,20,122,1785,12555
LEEZER Tom,20,123,1792,12562
AMADOR Andrey,20,124,1840,12610
TRENTIN Matteo,20,125,1919,12689
DE MARCHI Alessandro,20,126,1919,12689
MAS Lluís,20,127,1941,12711
CASTROVIEJO Jonathan,20,128,1941,12711
MOLINA Antonio,20,129,1941,12711
DUVAL Julien,20,130,1941,12711
ALBASINI Michael,20,131,1941,12711
VAN DER SANDE Tosh,20,132,1941,12711
BOOM Lars,20,133,1941,12711
ARU Fabio,20,134,1941,12711
BYSTRØM Sven Erik,20,135,1941,12711
WALSCHEID Max,20,136,1941,12711
SÁEZ Héctor,20,137,1941,12711
PIBERNIK Luka,20,138,1941,12711
ABERASTURI Jon,20,139,1941,12711
DOCKER Mitchell,20,140,1941,12711
SOTO Nelson Andrés,20,141,1941,12711
CLARKE Simon,20,142,1941,12711
MEZGEC Luka,20,143,1941,12711
REIJNEN Kiel,20,144,1941,12711
EDMONDSON Alex,20,145,1941,12711
LANGEVELD Sebastian,20,146,1941,12711
SARREAU Marc,20,147,1941,12711
VAN ZYL Johann,20,148,1941,12711
BURGHARDT Marcus,20,149,1949,12719
CONSONNI Simone,20,150,1952,12722
BENNATI Daniele,20,151,1952,12722
IRIZAR Markel,20,152,1956,12726
NIZZOLO Giacomo,20,153,1958,12728
SABATINI Fabio,20,154,1970,12740
ASGREEN Kasper,20,155,1970,12740
VIVIANI Elia,20,156,1970,12740
MØRKØV Michael,20,157,1970,12740
BRÄNDLE Matthias,20,158,1975,12745
PINOT Thibaut,19,1,0,13325
YATES Simon,19,2,5,13330
KRUIJSWIJK Steven,19,3,13,13338
URÁN Rigoberto,19,4,52,13377
LÓPEZ Miguel Ángel,19,5,52,13377
MAS Enric,19,6,52,13377
KELDERMAN Wilco,19,7,63,13388
VALVERDE Alejandro,19,8,72,13397
GALLOPIN Tony,19,9,75,13400
QUINTANA Nairo,19,10,109,13434
MAJKA Rafał,19,11,140,13465
DE MARCHI Alessandro,19,12,140,13465
ZAKARIN Ilnur,19,13,140,13465
IZAGIRRE Ion,19,14,140,13465
BUCHMANN Emanuel,19,15,140,13465
MORENO Daniel,19,16,140,13465
MOLARD Rudy,19,17,140,13465
BIZKARRA Mikel,19,18,144,13469
BILBAO Pello,19,19,153,13478
YATES Adam,19,20,184,13509
HIRT Jan,19,21,201,13526
CARAPAZ Richard,19,22,242,13567
BRAMBILLA Gianluca,19,23,320,13645
KING Ben,19,24,336,13661
SÁEZ Héctor,19,25,336,13661
MAS Lluís,19,26,349,13674
ARU Fabio,19,27,358,13683
RAVASI Edward,19,28,369,13694
RODRÍGUEZ Cristián,19,29,514,13839
HAIG Jack,19,30,592,13917
BENOOT Tiesj,19,31,592,13917
ITURRIA Mikel,19,32,592,13917
MENDES José,19,33,627,13952
HOLLENSTEIN Reto,19,34,627,13952
TEUNS Dylan,19,35,704,14029
DE TIER Floris,19,36,704,14029
TUSVELD Martijn,19,37,704,14029
HINDLEY Jai,19,38,704,14029
KUDUS Merhawi,19,39,704,14029
SERRY Pieter,19,40,704,14029
DUPONT Hubert,19,41,704,14029
PARDILLA Sergio,19,42,779,14104
CUBERO Jorge,19,43,779,14104
KOCHETKOV Pavel,19,44,779,14104
VINCENT Léo,19,45,779,14104
CHEREL Mikaël,19,46,779,14104
DEVENYNS Dries,19,47,786,14111
NIBALI Vincenzo,19,48,842,14167
PETERS Nans,19,49,944,14269
GENIEZ Alexandre,19,50,944,14269
LE TURNIER Mathias,19,51,944,14269
MONFORT Maxime,19,52,944,14269
CAMPENAERTS Victor,19,53,944,14269
GIBBONS Ryan,19,54,944,14269
HOWSON Damien,19,55,944,14269
VILLELLA Davide,19,56,944,14269
GASTAUER Ben,19,57,944,14269
ARMÉE Sander,19,58,944,14269
ANACONA Winner,19,59,944,14269
CONTI Valerio,19,60,944,14269
HENAO Sergio,19,61,944,14269
HERRADA Jesús,19,62,944,14269
MACHADO Tiago,19,63,944,14269
BAGÜES Aritz,19,64,944,14269
GEOGHEGAN HART Tao,19,65,944,14269
KUSS Sepp,19,66,944,14269
ROSSETTO Stéphane,19,67,944,14269
ROCHE Nicolas,19,68,944,14269
BOOKWALTER Brent,19,69,944,14269
CATALDO Dario,19,70,944,14269
DE LA CRUZ David,19,71,944,14269
IZAGIRRE Gorka,19,72,944,14269
CLARKE Simon,19,73,971,14296
FELLINE Fabio,19,74,1008,14333
FORMOLO Davide,19,75,1008,14333
BENNETT George,19,76,1071,14396
FRAILE Omar,19,77,1081,14406
EZQUERRA Jesús,19,78,1081,14406
ZEITS Andrey,19,79,1081,14406
ROSSKOPF Joey,19,80,1081,14406
WOODS Michael,19,81,1081,14406
MEINTJES Louis,19,82,1081,14406
VAN ASBROECK Tom,19,83,1081,14406
ROLLAND Pierre,19,84,1081,14406
VENTOSO Francisco José,19,85,1081,14406
RODRÍGUEZ Óscar,19,86,1081,14406
PRADES Eduard,19,87,1081,14406
CABEDO Óscar,19,88,1081,14406
PORTE Richie,19,89,1081,14406
FRÖHLINGER Johannes,19,90,1081,14406
THOMAS Benjamin,19,91,1112,14437
DE GENDT Thomas,19,92,1214,14539
VAN ZYL Johann,19,93,1214,14539
PELLIZOTTI Franco,19,94,1214,14539
BOL Jetse,19,95,1214,14539
ANTÓN Igor,19,96,1214,14539
CASTROVIEJO Jonathan,19,97,1214,14539
PUCCIO Salvatore,19,98,1214,14539
IRIZAR Markel,19,99,1214,14539
RESTREPO Jhonatan,19,100,1214,14539
MOLLEMA Bauke,19,101,1214,14539
LAENGEN Vegard Stake,19,102,1214,14539
VANBILSEN Kenneth,19,103,1214,14539
VAN DER SANDE Tosh,19,104,1214,14539
SCHULTZ Nick,19,105,1214,14539
OLIVEIRA Nelson,19,106,1214,14539
DELAGE Mickaël,19,107,1214,14539
BRAVO Garikoitz,19,108,1214,14539
AMADOR Andrey,19,109,1214,14539
BOSWELL Ian,19,110,1214,14539
TEUNISSEN Mike,19,111,1214,14539
SARREAU Marc,19,112,1214,14539
GHEBREIGZABHIER Amanuel,19,113,1214,14539
LEEZER Tom,19,114,1223,14548
BYSTRØM Sven Erik,19,115,1223,14548
ABERASTURI Jon,19,116,1232,14557
CHETOUT Loïc,19,117,1240,14565
STALNOV Nikita,19,118,1248,14573
HERRADA José,19,119,1276,14601
MATÉ Luis Ángel,19,120,1276,14601
DUCHESNE Antoine,19,121,1276,14601
GARCÍA CORTINA Iván,19,122,1283,14608
VIVIANI Elia,19,123,1517,14842
ALBASINI Michael,19,124,1517,14842
DUVAL Julien,19,125,1517,14842
LINDEMAN Bert-Jan,19,126,1537,14862
BOOM Lars,19,127,1537,14862
TRENTIN Matteo,19,128,1559,14884
SABATINI Fabio,19,129,1559,14884
KWIATKOWSKI Michał,19,130,1559,14884
MØRKØV Michael,19,131,1559,14884
TORRES Pablo,19,132,1559,14884
ARANBURU Alex,19,133,1559,14884
DOCKER Mitchell,19,134,1559,14884
REIJNEN Kiel,19,135,1559,14884
WALLAYS Jelle,19,136,1559,14884
MEZGEC Luka,19,137,1559,14884
PIBERNIK Luka,19,138,1559,14884
VAN POPPEL Danny,19,139,1559,14884
ASGREEN Kasper,19,140,1559,14884
EDMONDSON Alex,19,141,1559,14884
CONSONNI Simone,19,142,1559,14884
MOLINA Antonio,19,143,1559,14884
ERVITI Imanol,19,144,1559,14884
RUBIO Diego,19,145,1559,14884
LASTRA Jonathan,19,146,1559,14884
STORER Michael,19,147,1559,14884
SOTO Nelson Andrés,19,148,1559,14884
BRÄNDLE Matthias,19,149,1559,14884
MCCARTHY Jay,19,150,1559,14884
WALSCHEID Max,19,151,1559,14884
BURGHARDT Marcus,19,152,1559,14884
SAGAN Peter,19,153,1559,14884
BENNATI Daniele,19,154,1559,14884
NIZZOLO Giacomo,19,155,1559,14884
SCHWARZMANN Michael,19,156,1559,14884
LANGEVELD Sebastian,19,157,1559,14884
CUMMINGS Steve,19,158,1559,14884
WALLAYS Jelle,18,1,0,14223
BYSTRØM Sven Erik,18,2,0,14223
SAGAN Peter,18,3,0,14223
VIVIANI Elia,18,4,0,14223
GARCÍA CORTINA Iván,18,5,0,14223
VAN POPPEL Danny,18,6,0,14223
ABERASTURI Jon,18,7,0,14223
VAN ASBROECK Tom,18,8,0,14223
NIZZOLO Giacomo,18,9,0,14223
GIBBONS Ryan,18,10,0,14223
CONSONNI Simone,18,11,0,14223
TRENTIN Matteo,18,12,0,14223
VAN DER SANDE Tosh,18,13,0,14223
MCCARTHY Jay,18,14,0,14223
IZAGIRRE Ion,18,15,0,14223
VALVERDE Alejandro,18,16,0,14223
WALSCHEID Max,18,17,0,14223
GALLOPIN Tony,18,18,0,14223
YATES Simon,18,19,0,14223
LÓPEZ Miguel Ángel,18,20,0,14223
SARREAU Marc,18,21,0,14223
KRUIJSWIJK Steven,18,22,0,14223
SOTO Nelson Andrés,18,23,0,14223
MAJKA Rafał,18,24,0,14223
DEVENYNS Dries,18,25,0,14223
MOLARD Rudy,18,26,0,14223
MAS Enric,18,27,0,14223
BUCHMANN Emanuel,18,28,0,14223
SABATINI Fabio,18,29,0,14223
MAS Lluís,18,30,0,14223
KELDERMAN Wilco,18,31,0,14223
URÁN Rigoberto,18,32,0,14223
PINOT Thibaut,18,33,0,14223
BAGÜES Aritz,18,34,0,14223
HAIG Jack,18,35,0,14223
QUINTANA Nairo,18,36,0,14223
BRAMBILLA Gianluca,18,37,0,14223
PRADES Eduard,18,38,0,14223
HOLLENSTEIN Reto,18,39,0,14223
KING Ben,18,40,0,14223
PÖSTLBERGER Lukas,18,41,0,14223
LEEZER Tom,18,42,17,14240
MØRKØV Michael,18,43,17,14240
BENNATI Daniele,18,44,20,14243
TEUNISSEN Mike,18,45,21,14244
ERVITI Imanol,18,46,24,14247
ALBASINI Michael,18,47,30,14253
CONTI Valerio,18,48,30,14253
DE LA CRUZ David,18,49,36,14259
CHEREL Mikaël,18,50,36,14259
DELAGE Mickaël,18,51,36,14259
DUVAL Julien,18,52,36,14259
PIBERNIK Luka,18,53,36,14259
VILLELLA Davide,18,54,36,14259
ROSSKOPF Joey,18,55,36,14259
IRIZAR Markel,18,56,36,14259
HENAO Sergio,18,57,36,14259
TUSVELD Martijn,18,58,36,14259
BILBAO Pello,18,59,40,14263
IZAGIRRE Gorka,18,60,40,14263
LAENGEN Vegard Stake,18,61,40,14263
MEZGEC Luka,18,62,40,14263
EDMONDSON Alex,18,63,40,14263
CATALDO Dario,18,64,40,14263
NIBALI Vincenzo,18,65,40,14263
REIJNEN Kiel,18,66,40,14263
BOOM Lars,18,67,51,14274
FELLINE Fabio,18,68,55,14278
LINDEMAN Bert-Jan,18,69,66,14289
HINDLEY Jai,18,70,69,14292
SCHWARZMANN Michael,18,71,71,14294
FRAILE Omar,18,72,73,14296
RODRÍGUEZ Cristián,18,73,77,14300
CUBERO Jorge,18,74,77,14300
BIZKARRA Mikel,18,75,77,14300
LANGEVELD Sebastian,18,76,77,14300
PUCCIO Salvatore,18,77,77,14300
BURGHARDT Marcus,18,78,88,14311
MONFORT Maxime,18,79,94,14317
HOWSON Damien,18,80,117,14340
WOODS Michael,18,81,130,14353
SERRY Pieter,18,82,138,14361
DUCHESNE Antoine,18,83,141,14364
BOL Jetse,18,84,141,14364
AMADOR Andrey,18,85,144,14367
OLIVEIRA Nelson,18,86,144,14367
ASGREEN Kasper,18,87,158,14381
BENNETT George,18,88,158,14381
DE MARCHI Alessandro,18,89,166,14389
FRÖHLINGER Johannes,18,90,168,14391
KOCHETKOV Pavel,18,91,168,14391
MACHADO Tiago,18,92,168,14391
EZQUERRA Jesús,18,93,186,14409
TORRES Pablo,18,94,186,14409
DE TIER Floris,18,95,186,14409
VINCENT Léo,18,96,186,14409
GENIEZ Alexandre,18,97,186,14409
GASTAUER Ben,18,98,186,14409
DUPONT Hubert,18,99,186,14409
KUDUS Merhawi,18,100,186,14409
ANACONA Winner,18,101,186,14409
ANTÓN Igor,18,102,186,14409
GHEBREIGZABHIER Amanuel,18,103,186,14409
VENTOSO Francisco José,18,104,186,14409
ROCHE Nicolas,18,105,186,14409
HERRADA Jesús,18,106,186,14409
MORENO Daniel,18,107,186,14409
ZEITS Andrey,18,108,186,14409
ZAKARIN Ilnur,18,109,186,14409
RODRÍGUEZ Óscar,18,110,186,14409
RAVASI Edward,18,111,186,14409
BRAVO Garikoitz,18,112,186,14409
BOOKWALTER Brent,18,113,186,14409
ROSSETTO Stéphane,18,114,186,14409
ARMÉE Sander,18,115,186,14409
THOMAS Benjamin,18,116,186,14409
ARANBURU Alex,18,117,186,14409
SCHULTZ Nick,18,118,186,14409
ARU Fabio,18,119,186,14409
MOLINA Antonio,18,120,186,14409
LASTRA Jonathan,18,121,186,14409
MOLLEMA Bauke,18,122,186,14409
CASTROVIEJO Jonathan,18,123,186,14409
GEOGHEGAN HART Tao,18,124,186,14409
KWIATKOWSKI Michał,18,125,186,14409
VAN ZYL Johann,18,126,186,14409
MEINTJES Louis,18,127,186,14409
PELLIZOTTI Franco,18,128,186,14409
PARDILLA Sergio,18,129,186,14409
FORMOLO Davide,18,130,186,14409
TEUNS Dylan,18,131,186,14409
STORER Michael,18,132,186,14409
BENOOT Tiesj,18,133,186,14409
MATÉ Luis Ángel,18,134,186,14409
STALNOV Nikita,18,135,186,14409
CAMPENAERTS Victor,18,136,186,14409
VANBILSEN Kenneth,18,137,186,14409
LE TURNIER Mathias,18,138,186,14409
DE PLUS Laurens,18,139,186,14409
DOCKER Mitchell,18,140,186,14409
CUMMINGS Steve,18,141,186,14409
DE GENDT Thomas,18,142,273,14496
RESTREPO Jhonatan,18,143,278,14501
CARAPAZ Richard,18,144,278,14501
HIRT Jan,18,145,278,14501
BOSWELL Ian,18,146,278,14501
MENDES José,18,147,278,14501
PORTE Richie,18,148,278,14501
CABEDO Óscar,18,149,278,14501
RUBIO Diego,18,150,278,14501
SÁEZ Héctor,18,151,278,14501
ITURRIA Mikel,18,152,278,14501
ROLLAND Pierre,18,153,278,14501
CLARKE Simon,18,154,278,14501
YATES Adam,18,155,278,14501
HERRADA José,18,156,278,14501
KUSS Sepp,18,157,313,14536
PETERS Nans,18,158,373,14596
CHETOUT Loïc,18,159,466,14689
BRÄNDLE Matthias,18,160,466,14689
WOODS Michael,17,1,0,14988
TEUNS Dylan,17,2,5,14993
DE LA CRUZ David,17,3,10,14998
MAJKA Rafał,17,4,13,15001
ZAKARIN Ilnur,17,5,38,15026
DE MARCHI Alessandro,17,6,44,15032
GHEBREIGZABHIER Amanuel,17,7,48,15036
HERRADA Jesús,17,8,51,15039
HINDLEY Jai,17,9,55,15043
NIBALI Vincenzo,17,10,108,15096
ROSSETTO Stéphane,17,11,108,15096
KUDUS Merhawi,17,12,111,15099
CASTROVIEJO Jonathan,17,13,117,15105
MAS Enric,17,14,160,15148
VALVERDE Alejandro,17,15,160,15148
SÁEZ Héctor,17,16,164,15152
YATES Simon,17,17,168,15156
LÓPEZ Miguel Ángel,17,18,170,15158
FRAILE Omar,17,19,172,15160
RODRÍGUEZ Cristián,17,20,173,15161
YATES Adam,17,21,188,15176
KRUIJSWIJK Steven,17,22,224,15212
QUINTANA Nairo,17,23,224,15212
IZAGIRRE Ion,17,24,233,15221
URÁN Rigoberto,17,25,249,15237
GALLOPIN Tony,17,26,250,15238
GENIEZ Alexandre,17,27,260,15248
BUCHMANN Emanuel,17,28,273,15261
KELDERMAN Wilco,17,29,295,15283
RODRÍGUEZ Óscar,17,30,317,15305
AMADOR Andrey,17,31,322,15310
MOLARD Rudy,17,32,326,15314
PINOT Thibaut,17,33,326,15314
DE GENDT Thomas,17,34,326,15314
CARAPAZ Richard,17,35,330,15318
ANTÓN Igor,17,36,341,15329
BRAMBILLA Gianluca,17,37,348,15336
BILBAO Pello,17,38,366,15354
MENDES José,17,39,377,15365
FORMOLO Davide,17,40,379,15367
HAIG Jack,17,41,390,15378
BIZKARRA Mikel,17,42,400,15388
CLARKE Simon,17,43,440,15428
SERRY Pieter,17,44,454,15442
PELLIZOTTI Franco,17,45,457,15445
MORENO Daniel,17,46,465,15453
CUBERO Jorge,17,47,506,15494
MOLLEMA Bauke,17,48,508,15496
DUPONT Hubert,17,49,525,15513
SCHULTZ Nick,17,50,544,15532
IZAGIRRE Gorka,17,51,544,15532
PARDILLA Sergio,17,52,544,15532
CHEREL Mikaël,17,53,579,15567
PRADES Eduard,17,54,579,15567
KING Ben,17,55,648,15636
HENAO Sergio,17,56,648,15636
DE PLUS Laurens,17,57,650,15638
DEVENYNS Dries,17,58,650,15638
FELLINE Fabio,17,59,650,15638
CONTI Valerio,17,60,655,15643
